Species,Population,Temperature,mpa,Dish,Hour,Germinated,Germinable
AETR,029AT,20,-1.6,D,100.6,0,25
AETR,029AT,20,-1.6,D,111.3333333,3,25
AETR,029AT,20,-1.6,D,125.7166667,0,25
AETR,029AT,20,-1.6,D,134.8666667,0,25
AETR,029AT,20,-1.6,D,150.7833333,0,25
AETR,029AT,20,-1.6,D,196.8166667,0,25
AETR,029AT,20,-1.6,D,340.7833333,0,25
AETR,029AT,20,-1.6,D,531.95,1,25
AETR,029AT,20,-1,A,6.966666667,1,25
AETR,029AT,20,-1,A,13.71666667,5,25
AETR,029AT,20,-1,A,18.28333333,0,25
AETR,029AT,20,-1,A,21.36666667,3,25
AETR,029AT,20,-1,A,28.38333333,3,25
AETR,029AT,20,-1,A,33.48333333,4,25
AETR,029AT,20,-1,A,37.25,0,25
AETR,029AT,20,-1,A,40.55,0,25
AETR,029AT,20,-1,A,46.88333333,0,25
AETR,029AT,20,-1,A,51.73333333,1,25
AETR,029AT,20,-1,A,57.38333333,3,25
AETR,029AT,20,-1,A,62.48333333,1,25
AETR,029AT,20,-1,A,75.93333333,1,25
AETR,029AT,20,-1,A,88.66666667,1,25
AETR,029AT,20,-1,B,6.966666667,0,25
AETR,029AT,20,-1,B,13.71666667,10,25
AETR,029AT,20,-1,B,18.28333333,0,25
AETR,029AT,20,-1,B,21.36666667,1,25
AETR,029AT,20,-1,B,28.38333333,3,25
AETR,029AT,20,-1,B,33.48333333,2,25
AETR,029AT,20,-1,B,37.25,2,25
AETR,029AT,20,-1,B,40.55,0,25
AETR,029AT,20,-1,B,46.88333333,0,25
AETR,029AT,20,-1,B,51.73333333,1,25
AETR,029AT,20,-1,B,57.38333333,2,25
AETR,029AT,20,-1,B,62.48333333,1,25
AETR,029AT,20,-1,B,75.93333333,1,25
AETR,029AT,20,-1,B,88.66666667,2,25
AETR,029AT,20,-1,C,6.966666667,0,24
AETR,029AT,20,-1,C,13.71666667,6,24
AETR,029AT,20,-1,C,18.28333333,3,24
AETR,029AT,20,-1,C,21.36666667,4,24
AETR,029AT,20,-1,C,28.38333333,2,24
AETR,029AT,20,-1,C,33.48333333,0,24
AETR,029AT,20,-1,C,37.25,2,24
AETR,029AT,20,-1,C,40.55,0,24
AETR,029AT,20,-1,C,46.88333333,0,24
AETR,029AT,20,-1,C,51.73333333,0,24
AETR,029AT,20,-1,C,57.38333333,2,24
AETR,029AT,20,-1,C,62.48333333,1,24
AETR,029AT,20,-1,C,75.93333333,1,24
AETR,029AT,20,-1,C,88.66666667,1,24
AETR,029AT,20,-1,C,100.6,0,24
AETR,029AT,20,-1,C,111.3333333,1,24
AETR,029AT,20,-1,D,6.966666667,0,24
AETR,029AT,20,-1,D,13.71666667,6,24
AETR,029AT,20,-1,D,18.28333333,3,24
AETR,029AT,20,-1,D,21.36666667,2,24
AETR,029AT,20,-1,D,28.38333333,0,24
AETR,029AT,20,-1,D,33.48333333,1,24
AETR,029AT,20,-1,D,37.25,0,24
AETR,029AT,20,-1,D,40.55,0,24
AETR,029AT,20,-1,D,46.88333333,0,24
AETR,029AT,20,-1,D,51.73333333,0,24
AETR,029AT,20,-1,D,57.38333333,2,24
AETR,029AT,20,-1,D,62.48333333,1,24
AETR,029AT,20,-1,D,75.93333333,1,24
AETR,029AT,20,-1,D,88.66666667,3,24
AETR,029AT,20,-1,D,100.6,1,24
AETR,029AT,20,-1,D,111.3333333,0,24
AETR,029AT,20,-1,D,125.7166667,1,24
AETR,029AT,20,-1,D,134.8666667,0,24
AETR,029AT,20,-1,D,150.7833333,0,24
AETR,029AT,20,-1,D,196.8166667,1,24
AETR,035AT,20,-0.2,A,5.85,3,25
AETR,035AT,20,-0.2,A,12.76666667,12,25
AETR,035AT,20,-0.2,A,17.5,1,25
AETR,035AT,20,-0.2,A,24.18333333,2,25
AETR,035AT,20,-0.2,A,29.88333333,3,25
AETR,035AT,20,-0.2,A,33.71666667,1,25
AETR,035AT,20,-0.2,A,37.06666667,0,25
AETR,035AT,20,-0.2,A,42.5,1,25
AETR,035AT,20,-0.2,B,5.85,3,24
AETR,035AT,20,-0.2,B,12.76666667,14,24
AETR,035AT,20,-0.2,B,17.5,1,24
AETR,035AT,20,-0.2,B,24.18333333,1,24
AETR,035AT,20,-0.2,B,29.88333333,3,24
AETR,035AT,20,-0.2,B,33.71666667,0,24
AETR,035AT,20,-0.2,B,37.06666667,1,24
AETR,035AT,20,-0.2,B,42.5,0,24
AETR,035AT,20,-0.2,B,48.11666667,0,24
AETR,035AT,20,-0.2,B,53.7,0,24
AETR,035AT,20,-0.2,B,59.03333333,0,24
AETR,035AT,20,-0.2,B,72.41666667,0,24
AETR,035AT,20,-0.2,B,85.16666667,0,24
AETR,035AT,20,-0.2,B,97,0,24
AETR,035AT,20,-0.2,B,107.8666667,0,24
AETR,035AT,20,-0.2,B,122.2333333,1,24
AETR,035AT,20,-0.2,C,5.85,5,25
AETR,035AT,20,-0.2,C,12.76666667,13,25
AETR,035AT,20,-0.2,C,17.5,2,25
AETR,035AT,20,-0.2,C,24.18333333,3,25
AETR,035AT,20,-0.2,C,29.88333333,1,25
AETR,035AT,20,-0.2,C,33.71666667,1,25
AETR,035AT,20,-0.2,D,5.85,7,24
AETR,035AT,20,-0.2,D,12.76666667,10,24
AETR,035AT,20,-0.2,D,17.5,0,24
AETR,035AT,20,-0.2,D,24.18333333,2,24
AETR,035AT,20,-0.2,D,29.88333333,1,24
AETR,035AT,20,-0.2,D,33.71666667,0,24
AETR,035AT,20,-0.2,D,37.06666667,0,24
AETR,035AT,20,-0.2,D,42.5,1,24
AETR,035AT,20,-0.2,D,48.11666667,0,24
AETR,035AT,20,-0.2,D,53.7,2,24
AETR,035AT,20,-0.4,A,5.85,5,25
AETR,035AT,20,-0.4,A,12.76666667,11,25
AETR,035AT,20,-0.4,A,17.5,0,25
AETR,035AT,20,-0.4,A,24.18333333,1,25
AETR,035AT,20,-0.4,A,29.88333333,4,25
AETR,035AT,20,-0.4,A,33.71666667,0,25
AETR,035AT,20,-0.4,A,37.06666667,1,25
AETR,035AT,20,-0.4,A,42.5,1,25
AETR,035AT,20,-0.4,A,48.11666667,0,25
AETR,035AT,20,-0.4,A,53.7,1,25
AETR,035AT,20,-0.4,B,5.85,2,25
AETR,035AT,20,-0.4,B,12.76666667,8,25
AETR,035AT,20,-0.4,B,17.5,2,25
AETR,035AT,20,-0.4,B,24.18333333,2,25
AETR,035AT,20,-0.4,B,29.88333333,4,25
AETR,035AT,20,-0.4,B,33.71666667,1,25
AETR,035AT,20,-0.4,B,37.06666667,0,25
AETR,035AT,20,-0.4,B,42.5,2,25
AETR,035AT,20,-0.4,B,48.11666667,2,25
AETR,035AT,20,-0.4,B,53.7,0,25
AETR,035AT,20,-0.4,B,59.03333333,0,25
AETR,035AT,20,-0.4,B,72.41666667,1,25
AETR,035AT,20,-0.4,B,85.16666667,1,25
AETR,035AT,20,-0.4,C,5.85,2,25
AETR,035AT,20,-0.4,C,12.76666667,10,25
AETR,035AT,20,-0.4,C,17.5,1,25
AETR,035AT,20,-0.4,C,24.18333333,3,25
AETR,035AT,20,-0.4,C,29.88333333,2,25
AETR,035AT,20,-0.4,C,33.71666667,1,25
AETR,035AT,20,-0.4,C,37.06666667,0,25
AETR,035AT,20,-0.4,C,42.5,3,25
AETR,035AT,20,-0.4,C,48.11666667,1,25
AETR,035AT,20,-0.4,C,53.7,1,25
AETR,035AT,20,-0.4,C,59.03333333,0,25
AETR,035AT,20,-0.4,C,72.41666667,0,25
AETR,035AT,20,-0.4,C,85.16666667,0,25
AETR,035AT,20,-0.4,C,97,0,25
AETR,035AT,20,-0.4,C,107.8666667,1,25
AETR,035AT,20,-0.4,D,5.85,5,24
AETR,035AT,20,-0.4,D,12.76666667,15,24
AETR,035AT,20,-0.4,D,17.5,0,24
AETR,035AT,20,-0.4,D,24.18333333,0,24
AETR,035AT,20,-0.4,D,29.88333333,2,24
AETR,035AT,20,-0.4,D,33.71666667,0,24
AETR,035AT,20,-0.4,D,37.06666667,0,24
AETR,035AT,20,-0.4,D,42.5,0,24
AETR,035AT,20,-0.4,D,48.11666667,1,24
AETR,035AT,20,-0.4,D,53.7,1,24
AETR,035AT,20,-0.6,A,5.85,1,25
AETR,035AT,20,-0.6,A,12.76666667,10,25
AETR,035AT,20,-0.6,A,17.5,3,25
AETR,035AT,20,-0.6,A,24.18333333,3,25
