Treatment	Time	Dish	G	PG
12.5	21	rep4	8	25
12.5	22	rep4	11	25
12.5	23	rep4	11	25
12.5	24	rep4	11	25
12.5	25	rep4	15	25
12.5	26	rep4	15	25
12.5	27	rep4	15	25
12.5	28	rep4	15	25
12.5	29	rep4	15	25
12.5	30	rep4	15	25
20	1	rep1	0	25
20	2	rep1	0	25
20	3	rep1	0	25
20	4	rep1	1	25
20	5	rep1	1	25
20	6	rep1	1	25
20	7	rep1	5	25
20	8	rep1	5	25
20	9	rep1	5	25
20	10	rep1	16	25
20	11	rep1	16	25
20	12	rep1	16	25
20	13	rep1	18	25
20	14	rep1	18	25
20	15	rep1	18	25
20	16	rep1	20	25
20	17	rep1	20	25
20	18	rep1	20	25
20	19	rep1	20	25
20	20	rep1	20	25
20	21	rep1	20	25
20	22	rep1	20	25
20	23	rep1	20	25
20	24	rep1	20	25
20	25	rep1	21	25
20	26	rep1	21	25
20	27	rep1	21	25
20	28	rep1	21	25
20	29	rep1	21	25
20	30	rep1	21	25
20	1	rep2	0	25
20	2	rep2	0	25
20	3	rep2	0	25
20	4	rep2	0	25
20	5	rep2	0	25
20	6	rep2	0	25
20	7	rep2	10	25
20	8	rep2	10	25
20	9	rep2	10	25
20	10	rep2	21	25
20	11	rep2	21	25
20	12	rep2	21	25
20	13	rep2	21	25
20	14	rep2	21	25
20	15	rep2	21	25
20	16	rep2	21	25
20	17	rep2	21	25
20	18	rep2	21	25
20	19	rep2	21	25
20	20	rep2	21	25
20	21	rep2	21	25
20	22	rep2	22	25
20	23	rep2	22	25
20	24	rep2	22	25
20	25	rep2	22	25
20	26	rep2	22	25
20	27	rep2	22	25
20	28	rep2	22	25
20	29	rep2	22	25
20	30	rep2	22	25
20	1	rep3	0	25
20	2	rep3	0	25
20	3	rep3	0	25
20	4	rep3	3	25
20	5	rep3	3	25
20	6	rep3	3	25
20	7	rep3	9	25
20	8	rep3	9	25
20	9	rep3	9	25
20	10	rep3	15	25
20	11	rep3	15	25
20	12	rep3	15	25
20	13	rep3	15	25
20	14	rep3	15	25
20	15	rep3	15	25
20	16	rep3	15	25
20	17	rep3	15	25
20	18	rep3	15	25
20	19	rep3	15	25
20	20	rep3	15	25
20	21	rep3	15	25
20	22	rep3	15	25
20	23	rep3	15	25
20	24	rep3	15	25
20	25	rep3	15	25
20	26	rep3	15	25
20	27	rep3	15	25
20	28	rep3	15	25
20	29	rep3	15	25
20	30	rep3	15	25
20	1	rep4	0	25
20	2	rep4	0	25
20	3	rep4	0	25
20	4	rep4	2	25
20	5	rep4	2	25
20	6	rep4	2	25
20	7	rep4	4	25
20	8	rep4	4	25
20	9	rep4	4	25
20	10	rep4	20	25
20	11	rep4	20	25
20	12	rep4	20	25
20	13	rep4	21	25
20	14	rep4	21	25
20	15	rep4	21	25
20	16	rep4	21	25
20	17	rep4	21	25
20	18	rep4	21	25
20	19	rep4	21	25
20	20	rep4	21	25
20	21	rep4	21	25
20	22	rep4	21	25
20	23	rep4	21	25
20	24	rep4	21	25
20	25	rep4	21	25
20	26	rep4	21	25
20	27	rep4	21	25
20	28	rep4	21	25
20	29	rep4	21	25
20	30	rep4	21	25
20	1	rep1	0	25
20	2	rep1	0	25
20	3	rep1	0	25
20	4	rep1	2	25
20	5	rep1	2	25
20	6	rep1	2	25
20	7	rep1	20	25
20	8	rep1	20	25
20	9	rep1	20	25
20	10	rep1	20	25
20	11	rep1	20	25
20	12	rep1	20	25
20	13	rep1	20	25
20	14	rep1	20	25
20	15	rep1	20	25
20	16	rep1	20	25
20	17	rep1	20	25
20	18	rep1	20	25
20	19	rep1	20	25
20	20	rep1	20	25
20	21	rep1	20	25
20	22	rep1	20	25
20	23	rep1	20	25
20	24	rep1	20	25
20	25	rep1	20	25
20	26	rep1	20	25
20	27	rep1	20	25
20	28	rep1	20	25
20	29	rep1	20	25
20	30	rep1	20	25
20	1	rep2	0	25
20	2	rep2	0	25
20	3	rep2	0	25
20	4	rep2	3	25
20	5	rep2	3	25
20	6	rep2	3	25
20	7	rep2	19	25
20	8	rep2	19	25
20	9	rep2	19	25
20	10	rep2	23	25
20	11	rep2	23	25
20	12	rep2	23	25
20	13	rep2	23	25
20	14	rep2	23	25
20	15	rep2	23	25
20	16	rep2	23	25
20	17	rep2	23	25
20	18	rep2	23	25
20	19	rep2	23	25
20	20	rep2	23	25
20	21	rep2	23	25
20	22	rep2	23	25
20	23	rep2	23	25
20	24	rep2	23	25
20	25	rep2	23	25
20	26	rep2	23	25
20	27	rep2	23	25
20	28	rep2	23	25
20	29	rep2	23	25
20	30	rep2	23	25
20	1	rep3	0	25
20	2	rep3	0	25
20	3	rep3	0	25
20	4	rep3	0	25
20	5	rep3	0	25
20	6	rep3	0	25
20	7	rep3	21	25
20	8	rep3	21	25
20	9	rep3	21	25
20	10	rep3	24	25
20	11	rep3	24	25
20	12	rep3	24	25
20	13	rep3	24	25
20	14	rep3	24	25
20	15	rep3	24	25
20	16	rep3	24	25
20	17	rep3	24	25
20	18	rep3	24	25
20	19	rep3	24	25
20	20	rep3	24	25
20	21	rep3	24	25
20	22	rep3	24	25
20	23	rep3	24	25
20	24	rep3	24	25
20	25	rep3	25	25
20	26	rep3	25	25
20	27	rep3	25	25
20	28	rep3	25	25
20	29	rep3	25	25
20	30	rep3	25	25
20	1	rep4	0	25
20	2	rep4	0	25
20	3	rep4	0	25
20	4	rep4	4	25
20	5	rep4	4	25
20	6	rep4	4	25
20	7	rep4	22	25
20	8	rep4	22	25
20	9	rep4	22	25
20	10	rep4	24	25
20	11	rep4	24	25
20	12	rep4	24	25
20	13	rep4	24	25
20	14	rep4	24	25
20	15	rep4	24	25
20	16	rep4	24	25
20	17	rep4	24	25
20	18	rep4	24	25
20	19	rep4	24	25
20	20	rep4	24	25
20	21	rep4	24	25
20	22	rep4	24	25
20	23	rep4	24	25
20	24	rep4	24	25
20	25	rep4	24	25
20	26	rep4	24	25
20	27	rep4	24	25
20	28	rep4	25	25
20	29	rep4	25	25
20	30	rep4	25	25
30	1	rep1	0	25
30	2	rep1	0	25
30	3	rep1	0	25
30	4	rep1	9	25
30	5	rep1	9	25
30	6	rep1	9	25
30	7	rep1	15	25
30	8	rep1	15	25
30	9	rep1	15	25
30	10	rep1	22	25
30	11	rep1	22	25
30	12	rep1	22	25
30	13	rep1	22	25
30	14	rep1	22	25
30	15	rep1	22	25
30	16	rep1	22	25
30	17	rep1	22	25
30	18	rep1	22	25
30	19	rep1	22	25
30	20	rep1	22	25
30	21	rep1	22	25
30	22	rep1	22	25
30	23	rep1	22	25
30	24	rep1	22	25
30	25	rep1	22	25
30	26	rep1	22	25
30	27	rep1	22	25
30	28	rep1	22	25
30	29	rep1	22	25
30	30	rep1	22	25
30	1	rep2	0	25
30	2	rep2	0	25
30	3	rep2	0	25
30	4	rep2	4	25
30	5	rep2	4	25
30	6	rep2	4	25
30	7	rep2	17	25
30	8	rep2	17	25
30	9	rep2	17	25
30	10	rep2	21	25
30	11	rep2	21	25
30	12	rep2	21	25
30	13	rep2	22	25
30	14	rep2	22	25
30	15	rep2	22	25
30	16	rep2	22	25
30	17	rep2	22	25
30	18	rep2	22	25
30	19	rep2	22	25
30	20	rep2	22	25
30	21	rep2	22	25
30	22	rep2	22	25
30	23	rep2	22	25
30	24	rep2	22	25
30	25	rep2	22	25
30	26	rep2	22	25
30	27	rep2	22	25
30	28	rep2	22	25
30	29	rep2	22	25
30	30	rep2	22	25
30	1	rep3	0	25
30	2	rep3	0	25
30	3	rep3	0	25
30	4	rep3	7	25
30	5	rep3	7	25
30	6	rep3	7	25
30	7	rep3	16	25
30	8	rep3	16	25
30	9	rep3	16	25
30	10	rep3	22	25
30	11	rep3	22	25
30	12	rep3	22	25
30	13	rep3	23	25
30	14	rep3	23	25
30	15	rep3	23	25
30	16	rep3	23	25
30	17	rep3	23	25
30	18	rep3	23	25
30	19	rep3	23	25
30	20	rep3	23	25
30	21	rep3	23	25
30	22	rep3	23	25
30	23	rep3	23	25
30	24	rep3	23	25
30	25	rep3	24	25
30	26	rep3	24	25
30	27	rep3	24	25
30	28	rep3	24	25
30	29	rep3	24	25
30	30	rep3	24	25
30	1	rep4	0	25
30	2	rep4	0	25
30	3	rep4	0	25
30	4	rep4	9	25
30	5	rep4	9	25
30	6	rep4	9	25
30	7	rep4	14	25
30	8	rep4	14	25
30	9	rep4	14	25
30	10	rep4	20	25
30	11	rep4	20	25
30	12	rep4	20	25
30	13	rep4	21	25
30	14	rep4	21	25
30	15	rep4	21	25
30	16	rep4	23	25
30	17	rep4	23	25
30	18	rep4	23	25
30	19	rep4	24	25
30	20	rep4	24	25
30	21	rep4	24	25
30	22	rep4	24	25
30	23	rep4	24	25
30	24	rep4	24	25
30	25	rep4	25	25
30	26	rep4	25	25
30	27	rep4	25	25
30	28	rep4	25	25
30	29	rep4	25	25
30	30	rep4	25	25
40	1	rep1	0	25
40	2	rep1	0	25
40	3	rep1	0	25
40	4	rep1	0	25
40	5	rep1	0	25
40	6	rep1	0	25
40	7	rep1	0	25
40	8	rep1	0	25
40	9	rep1	0	25
40	10	rep1	0	25
40	11	rep1	0	25
40	12	rep1	0	25
40	13	rep1	0	25
40	14	rep1	0	25
40	15	rep1	0	25
40	16	rep1	0	25
40	17	rep1	0	25
40	18	rep1	0	25
40	19	rep1	0	25
40	20	rep1	0	25
40	21	rep1	0	25
40	22	rep1	0	25
40	23	rep1	0	25
40	24	rep1	0	25
40	25	rep1	0	25
40	26	rep1	0	25
40	27	rep1	0	25
40	28	rep1	0	25
40	29	rep1	0	25
40	30	rep1	0	25
40	1	rep2	0	25
40	2	rep2	0	25
40	3	rep2	0	25
40	4	rep2	0	25
40	5	rep2	0	25
40	6	rep2	0	25
40	7	rep2	0	25
40	8	rep2	0	25
40	9	rep2	0	25
40	10	rep2	0	25
40	11	rep2	0	25
40	12	rep2	0	25
40	13	rep2	0	25
40	14	rep2	0	25
40	15	rep2	0	25
40	16	rep2	0	25
40	17	rep2	0	25
40	18	rep2	0	25
40	19	rep2	0	25
40	20	rep2	0	25
40	21	rep2	0	25
40	22	rep2	0	25
40	23	rep2	0	25
40	24	rep2	0	25
40	25	rep2	0	25
40	26	rep2	0	25
40	27	rep2	0	25
40	28	rep2	0	25
40	29	rep2	0	25
40	30	rep2	0	25
