species,population,temperature,dish,times,germinated,germinable
Centaurium somedanum,Malconcecho,17.2,A42,12,2,25
Centaurium somedanum,Malconcecho,17.2,A42,13,0,25
Centaurium somedanum,Malconcecho,17.2,A42,14,0,25
Centaurium somedanum,Malconcecho,17.2,A42,15,2,25
Centaurium somedanum,Malconcecho,17.2,A42,16,0,25
Centaurium somedanum,Malconcecho,17.2,A42,17,0,25
Centaurium somedanum,Malconcecho,17.2,A42,18,0,25
Centaurium somedanum,Malconcecho,17.2,A42,19,0,25
Centaurium somedanum,Malconcecho,17.2,A42,20,0,25
Centaurium somedanum,Malconcecho,17.2,A42,21,0,25
Centaurium somedanum,Malconcecho,17.2,A42,22,0,25
Centaurium somedanum,Malconcecho,17.2,A42,23,0,25
Centaurium somedanum,Malconcecho,17.2,A42,24,0,25
Centaurium somedanum,Malconcecho,17.2,A42,25,0,25
Centaurium somedanum,Malconcecho,17.2,A42,26,0,25
Centaurium somedanum,Malconcecho,17.2,A42,27,0,25
Centaurium somedanum,Malconcecho,17.2,A42,28,0,25
Centaurium somedanum,Malconcecho,15.8,A43,1,0,24
Centaurium somedanum,Malconcecho,15.8,A43,2,0,24
Centaurium somedanum,Malconcecho,15.8,A43,3,0,24
Centaurium somedanum,Malconcecho,15.8,A43,4,0,24
Centaurium somedanum,Malconcecho,15.8,A43,5,0,24
Centaurium somedanum,Malconcecho,15.8,A43,6,0,24
Centaurium somedanum,Malconcecho,15.8,A43,7,4,24
Centaurium somedanum,Malconcecho,15.8,A43,8,6,24
Centaurium somedanum,Malconcecho,15.8,A43,9,8,24
Centaurium somedanum,Malconcecho,15.8,A43,10,0,24
Centaurium somedanum,Malconcecho,15.8,A43,11,2,24
Centaurium somedanum,Malconcecho,15.8,A43,12,0,24
Centaurium somedanum,Malconcecho,15.8,A43,13,1,24
Centaurium somedanum,Malconcecho,15.8,A43,14,0,24
Centaurium somedanum,Malconcecho,15.8,A43,15,0,24
Centaurium somedanum,Malconcecho,15.8,A43,16,0,24
Centaurium somedanum,Malconcecho,15.8,A43,17,0,24
Centaurium somedanum,Malconcecho,15.8,A43,18,0,24
